,from,to,database,source
1361,Col6a5,Itgb1,omnipath,omnipath
1362,Col6a6,Itga1,omnipath,omnipath
1363,Col6a6,Itga10,omnipath,omnipath
1364,Col6a6,Itga11,omnipath,omnipath
1365,Col6a6,Itga2,omnipath,omnipath
1366,Col6a6,Itgb1,omnipath,omnipath
1367,Col7a1,Itga1,omnipath,omnipath
1368,Col7a1,Itga10,omnipath,omnipath
1369,Col7a1,Itga11,omnipath,omnipath
1370,Col7a1,Itga2,omnipath,omnipath
1371,Col7a1,Itgb1,omnipath,omnipath
1372,Col8a1,Ddr1,omnipath,omnipath
1373,Col8a1,Itga1,omnipath,omnipath
1374,Col8a1,Itga10,omnipath,omnipath
1375,Col8a1,Itga11,omnipath,omnipath
1376,Col8a1,Itga2,omnipath,omnipath
1377,Col8a1,Itgb1,omnipath,omnipath
1378,Col8a2,Ddr1,omnipath,omnipath
1379,Col8a2,Itga1,omnipath,omnipath
1380,Col8a2,Itga10,omnipath,omnipath
1381,Col8a2,Itga11,omnipath,omnipath
1382,Col8a2,Itga2,omnipath,omnipath
1383,Col8a2,Itgb1,omnipath,omnipath
1384,Col8a2,Slc4a11,omnipath,omnipath
1385,Col9a1,Itga1,omnipath,omnipath
1386,Col9a1,Itga10,omnipath,omnipath
1387,Col9a1,Itga11,omnipath,omnipath
1388,Col9a1,Itga2,omnipath,omnipath
1389,Col9a1,Itgb1,omnipath,omnipath
1390,Col9a1,Mag,omnipath,omnipath
1391,Col9a2,Itga1,omnipath,omnipath
1392,Col9a2,Itga10,omnipath,omnipath
1393,Col9a2,Itga11,omnipath,omnipath
1394,Col9a2,Itga2,omnipath,omnipath
1395,Col9a2,Itgb1,omnipath,omnipath
1396,Col9a2,Mag,omnipath,omnipath
1397,Col9a3,Itga1,omnipath,omnipath
1398,Col9a3,Itga10,omnipath,omnipath
1399,Col9a3,Itga11,omnipath,omnipath
1400,Col9a3,Itga2,omnipath,omnipath
1401,Col9a3,Itgb1,omnipath,omnipath
1402,Col9a3,Mag,omnipath,omnipath
1403,Colq,Musk,omnipath,omnipath
1404,Comp,Cd36,omnipath,omnipath
1405,Comp,Cd47,omnipath,omnipath
1406,Comp,Itga2b,nichenet_verschueren,nichenet_verschueren
1407,Comp,Itga3,omnipath,omnipath
1408,Comp,Itga5,omnipath,omnipath
1409,Comp,Itga7,omnipath,omnipath
1410,Comp,Itgav,nichenet_verschueren,nichenet_verschueren
1411,Comp,Itgb1,omnipath,omnipath
1412,Comp,Itgb3,omnipath,omnipath
1413,Comp,Sdc1,nichenet_verschueren,nichenet_verschueren
1414,Copa,Cd74,omnipath,omnipath
1415,Copa,Mtnr1b,omnipath,omnipath
1416,Copa,Ntrk1,omnipath,omnipath
1417,Copa,Ntsr2,nichenet_verschueren,nichenet_verschueren
1418,Copa,P2ry6,omnipath,omnipath
1419,Copa,Sort1,omnipath,omnipath
1420,Corin,Kirrel,omnipath,omnipath
1421,Corin,Lrrc4c,omnipath,omnipath
1422,Cort,Ghsr,omnipath,omnipath
1423,Cort,Mrgprx2,omnipath,omnipath
1424,Cort,Mrgpra1,nichenet_verschueren,nichenet_verschueren
1425,Cort,Mrgpra2b,nichenet_verschueren,nichenet_verschueren
1426,Cort,Mrgpra9,nichenet_verschueren,nichenet_verschueren
1427,Cort,Mrgpra2a,nichenet_verschueren,nichenet_verschueren
1428,Cort,Mrgprx1,nichenet_verschueren,nichenet_verschueren
1429,Cort,Mrgprb4,nichenet_verschueren,nichenet_verschueren
1430,Cort,Mrgprb5,nichenet_verschueren,nichenet_verschueren
1431,Cort,Mrgprb2,nichenet_verschueren,nichenet_verschueren
1432,Cort,Mrgpra4,nichenet_verschueren,nichenet_verschueren
1433,Cort,Mrgpra6,nichenet_verschueren,nichenet_verschueren
1434,Cort,Mrgprx2,nichenet_verschueren,nichenet_verschueren
1435,Cort,Mrgprb8,nichenet_verschueren,nichenet_verschueren
1436,Cort,Mrgpra3,nichenet_verschueren,nichenet_verschueren
1437,Cort,Mrgprb3,nichenet_verschueren,nichenet_verschueren
1438,Cort,Mrgprb1,nichenet_verschueren,nichenet_verschueren
1439,Cort,Sstr1,omnipath,omnipath
1440,Cort,Sstr2,omnipath,omnipath
1441,Cort,Sstr3,omnipath,omnipath
1442,Cort,Sstr4,omnipath,omnipath
1443,Cort,Sstr5,omnipath,omnipath
1444,Cp,Slc40a1,omnipath,omnipath
1445,Cp,Smo,omnipath,omnipath
1446,Crb3,Lin7c,omnipath,omnipath
1447,Crb3,Patj,omnipath,omnipath
1448,Crh,Crhr1,omnipath,omnipath
1449,Crh,Crhr2,omnipath,omnipath
1450,Crh,Crhr1,nichenet_verschueren,nichenet_verschueren
1451,Crh,Mc2r,nichenet_verschueren,nichenet_verschueren
1452,Crhr2,Gnas,omnipath,omnipath
1453,Crisp1,A1bg,omnipath,omnipath
1454,Crisp2,Catsper1,omnipath,omnipath
1455,Crisp3,A1bg,omnipath,omnipath
1456,Crlf1,Cntfr,omnipath,omnipath
1457,Crlf1,Il6st,omnipath,omnipath
1458,Crlf1,Lifr,omnipath,omnipath
1459,Crlf1,Sorl1,omnipath,omnipath
1460,Crp,Cr1l,omnipath,omnipath
1461,Crp,Olr1,omnipath,omnipath
1462,Crtam,Cadm1,omnipath,omnipath
1463,Crtam,Dsc3,nichenet_verschueren,nichenet_verschueren
1464,Crtam,Ildr2,omnipath,omnipath
1465,Crtam,Muc15,omnipath,omnipath
1466,Crtam,Ntrk3,nichenet_verschueren,nichenet_verschueren
1467,Csf1,Csf1r,omnipath,omnipath
1468,Csf1,Csf2ra,omnipath,omnipath
1469,Csf1,Csf3r,omnipath,omnipath
1470,Csf1,Sirpa,omnipath,omnipath
1471,Csf2,Csf1r,nichenet_verschueren,nichenet_verschueren
1472,Csf2,Csf2ra,omnipath,omnipath
1473,Csf2,Csf2rb,omnipath,omnipath
1474,Csf2,Csf2rb2,omnipath,omnipath
1475,Csf2,Csf3r,omnipath,omnipath
1476,Csf2,Il3ra,omnipath,omnipath
1477,Csf2,Sdc2,omnipath,omnipath
1478,Csf3,Csf1r,nichenet_verschueren,nichenet_verschueren
1479,Csf3,Csf2ra,omnipath,omnipath
1480,Csf3,Csf3r,omnipath,omnipath
1481,Ctf1,Il6st,omnipath,omnipath
1482,Ctf1,Lifr,omnipath,omnipath
1483,Cthrc1,Fzd3,omnipath,omnipath
1484,Cthrc1,Fzd5,omnipath,omnipath
1485,Cthrc1,Fzd6,omnipath,omnipath
1486,Cthrc1,Ror2,omnipath,omnipath
1487,Ctsd,App,omnipath,omnipath
1488,Ctsg,F2r,omnipath,omnipath
1489,Ctsg,F2rl1,omnipath,omnipath
1490,Ctsg,F2rl2,omnipath,omnipath
1491,Cx3cl1,Cx3cr1,omnipath,omnipath
1492,Cx3cl1,Itga4,omnipath,omnipath
1493,Cx3cl1,Itgav,omnipath,omnipath
1494,Cx3cl1,Itgb1,omnipath,omnipath
1495,Cx3cl1,Itgb3,omnipath,omnipath
1496,Cxadr,Jaml,omnipath,omnipath
1497,Cxcl1,Ackr1,omnipath,omnipath
1498,Cxcl1,Cxcr1,omnipath,omnipath
1499,Cxcl1,Cxcr2,omnipath,omnipath
1500,Cxcl1,Dpp4,omnipath,omnipath
1501,Cxcl1,Xcr1,omnipath,omnipath
1502,Cxcl10,Ackr1,omnipath,omnipath
1503,Cxcl10,Ccr3,omnipath,omnipath
1504,Cxcl10,Cxcr3,omnipath,omnipath
1505,Cxcl10,Dpp4,omnipath,omnipath
1506,Cxcl10,Sdc4,omnipath,omnipath
1507,Cxcl11,Ackr1,omnipath,omnipath
1508,Cxcl11,Ackr3,omnipath,omnipath
1509,Cxcl11,Ccr3,omnipath,omnipath
1510,Cxcl11,Ccr5,omnipath,omnipath
1511,Cxcl11,Cxcr3,omnipath,omnipath
1512,Cxcl11,Dpp4,omnipath,omnipath
1513,Cxcl12,Ackr3,omnipath,omnipath
1514,Cxcl12,Cd4,omnipath,omnipath
1515,Cxcl12,Cxcr3,omnipath,omnipath
1516,Cxcl12,Cxcr4,omnipath,omnipath
1517,Cxcl12,Dpp4,omnipath,omnipath
1518,Cxcl12,Itgb1,omnipath,omnipath
1519,Cxcl13,Ackr1,omnipath,omnipath
1520,Cxcl13,Ackr4,omnipath,omnipath
1521,Cxcl13,Ccr10,omnipath,omnipath
1522,Cxcl13,Cxcr3,omnipath,omnipath
1523,Cxcl13,Cxcr5,omnipath,omnipath
1524,Cxcl14,Cxcr4,omnipath,omnipath
1525,Cxcl16,Adra2a,omnipath,omnipath
1526,Cxcl16,Cxcr6,omnipath,omnipath
1527,Cxcl16,Grm7,omnipath,omnipath
1528,Cxcl16,Mtnr1a,omnipath,omnipath
1529,Cxcl17,Gpr35,omnipath,omnipath
1530,Cxcl2,Ackr1,omnipath,omnipath
1531,Cxcl2,Adra2a,omnipath,omnipath
1532,Cxcl2,Cxcr1,omnipath,omnipath
1533,Cxcl2,Cxcr2,omnipath,omnipath
1534,Cxcl2,Grm7,omnipath,omnipath
1535,Cxcl2,Mtnr1a,omnipath,omnipath
1536,Cxcl5,Ackr1,omnipath,omnipath
1537,Cxcl5,Cxcr1,omnipath,omnipath
1538,Cxcl5,Cxcr2,omnipath,omnipath
1539,Cxcl9,Ackr1,omnipath,omnipath
1540,Cxcl9,Ccr3,omnipath,omnipath
1541,Cxcl9,Cxcr3,omnipath,omnipath
1542,Cxcl9,Dpp4,omnipath,omnipath
1543,Cytl1,Ccr2,omnipath,omnipath
1544,Dbh,Adra1a,omnipath,omnipath
1545,Dbh,Adra1b,omnipath,omnipath
1546,Dbh,Adra1d,omnipath,omnipath
1547,Dbh,Adra2a,omnipath,omnipath
1548,Dbh,Adra2b,omnipath,omnipath
1549,Dbh,Adra2c,omnipath,omnipath
1550,Dbh,Adrb1,omnipath,omnipath
1551,Dbh,Adrb2,omnipath,omnipath
1552,Dbh,Adrb3,omnipath,omnipath
1553,Dbh,Gpr161,omnipath,omnipath
1554,Dchs1,Fat4,omnipath,omnipath
1555,Dcn,Egfr,omnipath,omnipath
1556,Dcn,Erbb4,omnipath,omnipath
1557,Dcn,Igf1r,omnipath,omnipath
1558,Dcn,Kdr,omnipath,omnipath
1559,Dcn,Lrp1,omnipath,omnipath
1560,Dcn,Met,omnipath,omnipath
1561,Dcn,Tlr2,omnipath,omnipath
1562,Dcn,Tlr4,omnipath,omnipath
1563,Defb14,Ccr2,omnipath,omnipath
1564,Defb14,Ccr6,omnipath,omnipath
1565,Dhh,Boc,omnipath,omnipath
1566,Dhh,Cdon,omnipath,omnipath
1567,Dhh,Hhip,omnipath,omnipath
1568,Dhh,Ptch1,omnipath,omnipath
1569,Dhh,Ptch2,omnipath,omnipath
1570,Dkk1,Kremen1,omnipath,omnipath
1571,Dkk1,Kremen2,omnipath,omnipath
1572,Dkk1,Lrp5,omnipath,omnipath
1573,Dkk1,Lrp6,omnipath,omnipath
1574,Dkk2,Kremen1,omnipath,omnipath
1575,Dkk2,Kremen2,omnipath,omnipath
1576,Dkk2,Lrp5,omnipath,omnipath
1577,Dkk2,Lrp6,omnipath,omnipath
1578,Dkk3,Kremen1,omnipath,omnipath
1579,Dkk4,Kremen1,omnipath,omnipath
1580,Dkk4,Kremen2,omnipath,omnipath
1581,Dkk4,Lrp5,omnipath,omnipath
1582,Dkk4,Lrp6,omnipath,omnipath
1583,Dlk1,Acvr2b,nichenet_verschueren,nichenet_verschueren
1584,Dlk1,Erbb4,nichenet_verschueren,nichenet_verschueren
1585,Dlk1,Notch1,omnipath,omnipath
1586,Dlk1,Notch2,omnipath,omnipath
1587,Dlk1,Notch3,omnipath,omnipath
1588,Dlk1,Notch4,omnipath,omnipath
1589,Dlk2,Notch1,omnipath,omnipath
1590,Dll1,Musk,nichenet_verschueren,nichenet_verschueren
1591,Dll1,Notch1,omnipath,omnipath
1592,Dll1,Notch2,omnipath,omnipath
1593,Dll1,Notch3,omnipath,omnipath
1594,Dll1,Notch4,omnipath,omnipath
1595,Dll3,Notch1,omnipath,omnipath
1596,Dll3,Notch2,omnipath,omnipath
1597,Dll3,Notch3,omnipath,omnipath
1598,Dll3,Notch4,omnipath,omnipath
1599,Dll4,Notch1,omnipath,omnipath
1600,Dll4,Notch2,omnipath,omnipath
1601,Dll4,Notch3,omnipath,omnipath
1602,Dll4,Notch4,omnipath,omnipath
1603,Dmp1,Itgav,omnipath,omnipath
1604,Dmp1,Itgb3,omnipath,omnipath
1605,Draxin,Dcc,omnipath,omnipath
1606,Dsc1,Dsg1a,omnipath,omnipath
1607,Dsc1,Dsg1b,omnipath,omnipath
1608,Dsc1,Dsg1c,omnipath,omnipath
1609,Dsc1,Dsg2,omnipath,omnipath
1610,Dsc1,Dsg3,omnipath,omnipath
1611,Dsc1,Dsg4,omnipath,omnipath
1612,Dsc2,Dsg1a,omnipath,omnipath
1613,Dsc2,Dsg1b,omnipath,omnipath
1614,Dsc2,Dsg1c,omnipath,omnipath
1615,Dsc2,Dsg2,omnipath,omnipath
1616,Dsc2,Dsg3,omnipath,omnipath
1617,Dsc2,Dsg4,omnipath,omnipath
1618,Dsc3,Dsg1a,omnipath,omnipath
1619,Dsc3,Dsg1b,omnipath,omnipath
1620,Dsc3,Dsg1c,omnipath,omnipath
1621,Dsc3,Dsg2,omnipath,omnipath
1622,Dsc3,Dsg3,omnipath,omnipath
1623,Dsc3,Dsg4,omnipath,omnipath
1624,Dscam,Dcc,omnipath,omnipath
1625,Dscam,Dscam,nichenet_verschueren,nichenet_verschueren
1626,Dscam,Notch3,omnipath,omnipath
1627,Dscam,Ptprk,omnipath,omnipath
1628,Dscam,Ptprm,omnipath,omnipath
1629,Dscam,Ptprt,omnipath,omnipath
1630,Dscaml1,Aqp9,omnipath,omnipath
1631,Dscaml1,Ptprk,omnipath,omnipath
1632,Dscaml1,Ptprm,omnipath,omnipath
1633,Dscaml1,Ptprt,omnipath,omnipath
1634,Dsg1a,Dsc3,omnipath,omnipath
1635,Dsg1a,Flt4,omnipath,omnipath
1636,Dsg1b,Dsc3,omnipath,omnipath
1637,Dsg1b,Flt4,omnipath,omnipath
1638,Dsg1c,Dsc3,omnipath,omnipath
1639,Dsg1c,Flt4,omnipath,omnipath
1640,Dsg2,Dsc1,omnipath,omnipath
1641,Dsg2,Dsc3,omnipath,omnipath
1642,Dspp,Itgav,omnipath,omnipath
1643,Dspp,Itgb1,omnipath,omnipath
1644,Dspp,Itgb6,omnipath,omnipath
1645,Dusp18,Cd151,nichenet_verschueren,nichenet_verschueren
1646,Dusp18,Itga1,nichenet_verschueren,nichenet_verschueren
1647,Dusp18,Itga2,nichenet_verschueren,nichenet_verschueren
1648,Dusp18,Itga3,nichenet_verschueren,nichenet_verschueren
1649,Dusp18,Itga6,nichenet_verschueren,nichenet_verschueren
1650,Dusp18,Itga7,nichenet_verschueren,nichenet_verschueren
1651,Dusp18,Itgb1,nichenet_verschueren,nichenet_verschueren
1652,Dusp18,Itgb4,nichenet_verschueren,nichenet_verschueren
1653,Dusp18,Rpsa,nichenet_verschueren,nichenet_verschueren
1654,Ebi3,Il27ra,omnipath,omnipath
1655,Ebi3,Il6st,omnipath,omnipath
1656,Ecm1,Cachd1,omnipath,omnipath
1657,Ecm1,Itgb4,omnipath,omnipath
1658,Eda,Eda2r,omnipath,omnipath
1659,Eda,Edar,omnipath,omnipath
1660,Eda,Il1rl1,omnipath,omnipath
1661,Edil3,Itga5,omnipath,omnipath
1662,Edil3,Itgav,omnipath,omnipath
1663,Edil3,Itgb1,omnipath,omnipath
1664,Edil3,Itgb3,omnipath,omnipath
1665,Edil3,Itgb5,omnipath,omnipath
1666,Edn1,Adgrl4,omnipath,omnipath
1667,Edn1,Ece1,omnipath,omnipath
1668,Edn1,Ednra,omnipath,omnipath
1669,Edn1,Ednrb,omnipath,omnipath
1670,Edn1,Egfr,omnipath,omnipath
1671,Edn2,Ednra,omnipath,omnipath
1672,Edn2,Ednrb,omnipath,omnipath
1673,Edn3,Ednra,omnipath,omnipath
1674,Edn3,Ednrb,omnipath,omnipath
1675,Efemp1,Egfr,omnipath,omnipath
1676,Efemp2,Aqp1,omnipath,omnipath
1677,Efemp2,Catsper1,omnipath,omnipath
1678,Efemp2,Lingo1,omnipath,omnipath
1679,Efemp2,Plscr4,omnipath,omnipath
1680,Efna1,Epha1,omnipath,omnipath
1681,Efna1,Epha2,omnipath,omnipath
1682,Efna1,Epha3,omnipath,omnipath
1683,Efna1,Epha4,omnipath,omnipath
1684,Efna1,Epha5,omnipath,omnipath
1685,Efna1,Epha6,omnipath,omnipath
1686,Efna1,Epha7,omnipath,omnipath
1687,Efna1,Epha8,omnipath,omnipath
1688,Efna1,Ephb1,omnipath,omnipath
1689,Efna2,Epha1,omnipath,omnipath
1690,Efna2,Epha10,omnipath,omnipath
1691,Efna2,Epha2,omnipath,omnipath
1692,Efna2,Epha3,omnipath,omnipath
1693,Efna2,Epha4,omnipath,omnipath
1694,Efna2,Epha5,omnipath,omnipath
1695,Efna2,Epha6,omnipath,omnipath
1696,Efna2,Epha7,omnipath,omnipath
1697,Efna2,Epha8,omnipath,omnipath
1698,Efna3,Epha1,omnipath,omnipath
1699,Efna3,Epha10,omnipath,omnipath
1700,Efna3,Epha2,omnipath,omnipath
1701,Efna3,Epha3,omnipath,omnipath
1702,Efna3,Epha4,omnipath,omnipath
1703,Efna3,Epha5,omnipath,omnipath
1704,Efna3,Epha6,omnipath,omnipath
1705,Efna3,Epha7,omnipath,omnipath
1706,Efna3,Epha8,omnipath,omnipath
1707,Efna3,Ephb1,omnipath,omnipath
1708,Efna4,Epha1,omnipath,omnipath
1709,Efna4,Epha10,omnipath,omnipath
1710,Efna4,Epha2,omnipath,omnipath
1711,Efna4,Epha3,omnipath,omnipath
1712,Efna4,Epha4,omnipath,omnipath
1713,Efna4,Epha5,omnipath,omnipath
1714,Efna4,Epha6,omnipath,omnipath
1715,Efna4,Epha7,omnipath,omnipath
1716,Efna4,Epha8,omnipath,omnipath
1717,Efna5,Epha1,omnipath,omnipath
1718,Efna5,Epha2,omnipath,omnipath
1719,Efna5,Epha3,omnipath,omnipath
1720,Efna5,Epha4,omnipath,omnipath
1721,Efna5,Epha5,omnipath,omnipath
1722,Efna5,Epha6,omnipath,omnipath
1723,Efna5,Epha7,omnipath,omnipath
1724,Efna5,Epha8,omnipath,omnipath
1725,Efna5,Ephb1,omnipath,omnipath
1726,Efna5,Ephb2,omnipath,omnipath
1727,Efna5,Ephb6,omnipath,omnipath
1728,Efnb1,Dag1,nichenet_verschueren,nichenet_verschueren
1729,Efnb1,Dsg4,nichenet_verschueren,nichenet_verschueren
1730,Efnb1,Epha3,nichenet_verschueren,nichenet_verschueren
1731,Efnb1,Epha4,omnipath,omnipath
1732,Efnb1,Ephb1,omnipath,omnipath
1733,Efnb1,Ephb2,omnipath,omnipath
1734,Efnb1,Ephb3,omnipath,omnipath
1735,Efnb1,Ephb4,omnipath,omnipath
1736,Efnb1,Ephb6,omnipath,omnipath
1737,Efnb1,Erbb2,omnipath,omnipath
1738,Efnb1,Evc2,nichenet_verschueren,nichenet_verschueren
1739,Efnb1,Fam187b,nichenet_verschueren,nichenet_verschueren
1740,Efnb1,Itln1,nichenet_verschueren,nichenet_verschueren
1741,Efnb1,Lvrn,nichenet_verschueren,nichenet_verschueren
1742,Efnb1,Naalad2,nichenet_verschueren,nichenet_verschueren
1743,Efnb1,Slamf9,nichenet_verschueren,nichenet_verschueren
1744,Efnb1,Trhde,nichenet_verschueren,nichenet_verschueren
1745,Efnb2,AB124611,nichenet_verschueren,nichenet_verschueren
1746,Efnb2,Epha10,nichenet_verschueren,nichenet_verschueren
1747,Efnb2,Epha3,omnipath,omnipath
1748,Efnb2,Epha4,omnipath,omnipath
1749,Efnb2,Epha6,omnipath,omnipath
1750,Efnb2,Epha8,nichenet_verschueren,nichenet_verschueren
1751,Efnb2,Ephb1,omnipath,omnipath
1752,Efnb2,Ephb2,omnipath,omnipath
1753,Efnb2,Ephb3,omnipath,omnipath
1754,Efnb2,Ephb4,omnipath,omnipath
1755,Efnb2,Ephb6,omnipath,omnipath
1756,Efnb2,Fcrl1,nichenet_verschueren,nichenet_verschueren
1757,Efnb2,Grm1,omnipath,omnipath
1758,Efnb2,Grm5,omnipath,omnipath
1759,Efnb2,Pecam1,omnipath,omnipath
1760,Efnb2,Rhbdl2,omnipath,omnipath
1761,Efnb2,Tctn2,nichenet_verschueren,nichenet_verschueren
1762,Efnb3,AB124611,nichenet_verschueren,nichenet_verschueren
1763,Efnb3,Epha10,nichenet_verschueren,nichenet_verschueren
1764,Efnb3,Epha3,nichenet_verschueren,nichenet_verschueren
1765,Efnb3,Epha4,omnipath,omnipath
1766,Efnb3,Ephb1,omnipath,omnipath
1767,Efnb3,Ephb2,omnipath,omnipath
1768,Efnb3,Ephb3,omnipath,omnipath
1769,Efnb3,Ephb4,omnipath,omnipath
1770,Efnb3,Ephb6,omnipath,omnipath
1771,Efnb3,Rhbdl2,omnipath,omnipath
1772,Egf,Egfr,omnipath,omnipath
1773,Egf,Erbb2,omnipath,omnipath
1774,Egf,Erbb3,omnipath,omnipath
1775,Egf,Erbb4,omnipath,omnipath
1776,Egf,Tnfrsf11b,nichenet_verschueren,nichenet_verschueren
1777,Elfn1,Flt1,nichenet_verschueren,nichenet_verschueren
1778,Emc1,Prlr,nichenet_verschueren,nichenet_verschueren
1779,Enam,Cd63,omnipath,omnipath
1780,Eng,Acvr2a,omnipath,omnipath
1781,Eng,Acvrl1,omnipath,omnipath
1782,Eng,Bmpr2,omnipath,omnipath
1783,Eng,Cdh5,omnipath,omnipath
1784,Eng,Itgav,omnipath,omnipath
1785,Enho,Gpr19,omnipath,omnipath
1786,Enpp1,Insr,omnipath,omnipath
1787,Entpd1,Adora1,omnipath,omnipath
1788,Entpd1,Adora2a,omnipath,omnipath
1789,Entpd1,Adora2b,omnipath,omnipath
1790,Entpd1,Tmigd3,omnipath,omnipath
1791,Epcam,Cldn1,omnipath,omnipath
1792,Epcam,Cldn7,omnipath,omnipath
1793,Epgn,Egfr,omnipath,omnipath
1794,Epgn,Erbb4,omnipath,omnipath
1795,Epgn,Igsf11,nichenet_verschueren,nichenet_verschueren
1796,Epha4,Fgfr1,omnipath,omnipath
1797,Epha4,Fgfr2,omnipath,omnipath
1798,Epha4,Fgfr3,omnipath,omnipath
1799,Epha4,Fgfr4,omnipath,omnipath
1800,Epo,Ephb4,omnipath,omnipath
1801,Epo,Epor,omnipath,omnipath
1802,Ereg,Egfr,omnipath,omnipath
1803,Ereg,Erbb2,omnipath,omnipath
1804,Ereg,Erbb3,omnipath,omnipath
1805,Ereg,Erbb4,omnipath,omnipath
1806,Erfe,Lrp1,omnipath,omnipath
1807,Esam,Esam,nichenet_verschueren,nichenet_verschueren
1808,Esam,Robo3,nichenet_verschueren,nichenet_verschueren
1809,Esm1,Itgal,omnipath,omnipath
1810,Esm1,Itgb2,omnipath,omnipath
1811,Esm1,Itgb2l,omnipath,omnipath
1812,Ezr,Slc9a1,omnipath,omnipath
1813,F10,F3,omnipath,omnipath
1814,F10,F7,omnipath,omnipath
1815,F10,Itgam,omnipath,omnipath
1816,F10,Gm49368,omnipath,omnipath
1817,F10,Itgb2,omnipath,omnipath
1818,F10,Itgb2l,omnipath,omnipath
1819,F11,F9,omnipath,omnipath
1820,F11,Gp1ba,omnipath,omnipath
1821,F11,Gp1bb,omnipath,omnipath
1822,F11,Gp5,omnipath,omnipath
1823,F11,Gp9,omnipath,omnipath
1824,F11r,F11r,nichenet_verschueren,nichenet_verschueren
1825,F11r,Itgal,omnipath,omnipath
1826,F11r,Itgb2,omnipath,omnipath
1827,F11r,Itgb2l,omnipath,omnipath
1828,F11r,Jam2,omnipath,omnipath
1829,F11r,Jam3,nichenet_verschueren,nichenet_verschueren
1830,F11r,Robo3,nichenet_verschueren,nichenet_verschueren
1831,F12,Cd93,omnipath,omnipath
1832,F12,F11,omnipath,omnipath
1833,F12,Gp1ba,omnipath,omnipath
1834,F12,Gp1bb,omnipath,omnipath
1835,F12,Gp5,omnipath,omnipath
1836,F12,Gp9,omnipath,omnipath
1837,F12,Klkb1,omnipath,omnipath
1838,F13a1,Itga4,omnipath,omnipath
1839,F13a1,Itga9,omnipath,omnipath
1840,F13a1,Itgb1,omnipath,omnipath
1841,F2,F2r,omnipath,omnipath
1842,F2,F2rl1,omnipath,omnipath
1843,F2,F2rl2,omnipath,omnipath
1844,F2,F2rl3,omnipath,omnipath
1845,F2,F5,omnipath,omnipath
1846,F2,F8,omnipath,omnipath
1847,F2,Gp1ba,omnipath,omnipath
1848,F2,Gp9,omnipath,omnipath
1849,F2,Itga2b,omnipath,omnipath
1850,F2,Thbd,omnipath,omnipath
1851,F5,Proc,omnipath,omnipath
1852,F7,F10,omnipath,omnipath
1853,F7,F3,omnipath,omnipath
1854,F7,F9,omnipath,omnipath
1855,F8,Asgr2,omnipath,omnipath
1856,F8,F10,omnipath,omnipath
1857,F8,Ldlr,omnipath,omnipath
1858,F8,Lrp1,omnipath,omnipath
1859,F8,Lrp2,omnipath,omnipath
1860,F8,Lrp4,omnipath,omnipath
1861,F9,F7,omnipath,omnipath
1862,F9,Lrp1,omnipath,omnipath
1863,Fam3b,Lrp5,omnipath,omnipath
1864,Fam3c,Adgrg5,omnipath,omnipath
1865,Fam3c,Clec2d,omnipath,omnipath
1866,Fam3c,Clec2i,omnipath,omnipath
1867,Fam3c,Clec2h,omnipath,omnipath
1868,Fam3c,Clec2e,omnipath,omnipath
1869,Fam3c,Clec2g,omnipath,omnipath
1870,Fam3c,Ffar2,omnipath,omnipath
1871,Fam3c,Glra2,omnipath,omnipath
1872,Fam3c,Ffar3,omnipath,omnipath
1873,Fam3c,Kir3dl2,omnipath,omnipath
1874,Fam3c,Kir3dl1,omnipath,omnipath
1875,Fam3c,Lamp1,omnipath,omnipath
1876,Fam3c,Lifr,omnipath,omnipath
1877,Fam3c,Pdcd1,omnipath,omnipath
1878,Fam3d,Fpr1,omnipath,omnipath
1879,Fam3d,Fpr2,omnipath,omnipath
1880,Fam3d,Fpr3,omnipath,omnipath
1881,Fap,Dpp4,omnipath,omnipath
1882,Fap,Npr2,omnipath,omnipath
1883,Fasl,Fas,omnipath,omnipath
1884,Fat4,Dchs1,omnipath,omnipath
1885,Fbln1,Itgb1,omnipath,omnipath
1886,Fbln2,Itgb3,omnipath,omnipath
1887,Fbn1,Itga5,omnipath,omnipath
1888,Fbn1,Itgav,omnipath,omnipath
1889,Fbn1,Itgb1,omnipath,omnipath
1890,Fbn1,Itgb3,omnipath,omnipath
1891,Fbn1,Itgb6,omnipath,omnipath
1892,Fcer2a,Cr2,omnipath,omnipath
1893,Fcer2a,Itgam,omnipath,omnipath
1894,Fcer2a,Gm49368,omnipath,omnipath
1895,Fcer2a,Itgav,omnipath,omnipath
1896,Fcer2a,Itgax,omnipath,omnipath
1897,Fcer2a,Itgb2,omnipath,omnipath
1898,Fcer2a,Itgb2l,omnipath,omnipath
1899,Fcer2a,Itgb3,omnipath,omnipath
1900,Fcgr4,Eda2r,nichenet_verschueren,nichenet_verschueren
1901,Fcnb,Lrp1,omnipath,omnipath
1902,Fcrl6,Nrp2,nichenet_verschueren,nichenet_verschueren
1903,Fga,Cdh5,omnipath,omnipath
1904,Fga,Itga2b,omnipath,omnipath
1905,Fga,Itga5,omnipath,omnipath
1906,Fga,Itgam,omnipath,omnipath
1907,Fga,Gm49368,omnipath,omnipath
1908,Fga,Itgav,omnipath,omnipath
1909,Fga,Itgax,omnipath,omnipath
1910,Fga,Itgb1,omnipath,omnipath
1911,Fga,Itgb2,omnipath,omnipath
1912,Fga,Itgb2l,omnipath,omnipath
1913,Fga,Itgb3,omnipath,omnipath
1914,Fga,Plat,omnipath,omnipath
